,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
158,2021-12-20,46684.54,51856.71,45511.67,50804.87,7207.00167,2021-12-26 23:59:59.999,353436985.4393924,216693,3497.76841,171552928.845304,0
159,2021-12-27,50815.82,52195.6,45651.0,47289.86,7774.10929,2022-01-02 23:59:59.999,373596854.0487329,206386,3566.46045,171496111.1144279,0
160,2022-01-03,47289.86,47586.32,40500.0,41855.37,13066.14087,2022-01-09 23:59:59.999,570361511.6255089,266871,5570.00028,243759724.9952184,0
161,2022-01-10,41852.89,44446.35,39646.36,43084.73,8988.68704,2022-01-16 23:59:59.999,381997234.4411207,234904,3856.68798,163772756.4435662,0
162,2022-01-17,43093.22,43499.01,34000.0,36261.38,13747.568342,2022-01-23 23:59:59.999,533701821.9571167,290469,6237.814947,244146742.4003261,0
163,2022-01-24,36252.79,38931.35,32950.0,37917.38,14167.307042,2022-01-30 23:59:59.999,515845042.6519829,307548,6361.432962,230746442.9359735,0
164,2022-01-31,37893.61,42688.0,36254.8,42407.71,9072.86943,2022-02-06 23:59:59.999,352178787.5657333,238472,4061.81398,158164035.3527069,0
165,2022-02-07,42413.26,45853.59,41677.51,42066.08,12147.6158,2022-02-13 23:59:59.999,529119830.2063885,301473,5370.94958,233607817.4873913,0
166,2022-02-14,42078.41,44774.96,38000.0,38369.12,9568.42849,2022-02-20 23:59:59.999,401458371.6262788,235546,4712.41299,197492167.7578358,0
167,2022-02-21,38387.68,40427.97,34344.08,37706.37,13957.44148,2022-02-27 23:59:59.999,525071939.2368823,324841,6853.15029,257340946.9594606,0
168,2022-02-28,37709.93,45370.99,37455.05,38409.21,11393.17903,2022-03-06 23:59:59.999,475088776.8042301,309384,5914.20921,246929774.9511292,0
169,2022-03-07,38424.78,42587.89,37166.0,37767.96,11400.98143,2022-03-13 23:59:59.999,450007561.0234986,341993,5505.96476,217342920.8856295,0
170,2022-03-14,37782.51,42445.26,37567.42,41281.03,9659.90327,2022-03-20 23:59:59.999,388841848.2271696,292322,4664.26772,187455173.5489662,0
171,2022-03-21,41286.21,47000.0,40426.19,46855.47,9511.84566,2022-03-27 23:59:59.999,412301876.5438648,358858,4700.91124,204081935.1851403,0
172,2022-03-28,46844.65,48217.78,44233.01,46410.85,10817.31728,2022-04-03 23:59:59.999,505020208.5396957,424967,5343.45287,249426177.6150566,0
173,2022-04-04,46413.6,47219.85,41854.24,42159.56,9502.85555,2022-04-10 23:59:59.999,421769001.9516544,369196,4922.7368,218654312.7391591,0
174,2022-04-11,42159.44,42432.39,39196.61,39683.78,10707.62706,2022-04-17 23:59:59.999,433084611.4998987,353077,5452.31634,220603576.9759731,0
175,2022-04-18,39680.12,42992.13,38500.0,39466.74,10990.65136,2022-04-24 23:59:59.999,445571359.2283737,366022,5683.17712,230374324.0047972,0
